	flowers	up dne1.2 dcp2 vs dcp2	up dne1.3 dcp2 vs dcp2	up dne1 dcp2 vs dcp2	xrn4	dcp2	down dne1.2 dcp2 vs dcp2	down dne1.3 dcp2 vs dcp2	down dne1 dcp2 vs dcp2	Letters
flowers	1	0.874132737463693	0.790957997650247	0.720744555909307	0.0424148195772253	0.525868555657694	0.573433362047625	0.923326301125319	0.745165401823458	a
up dne1.2 dcp2 vs dcp2	0.874132737463693	1	0.923326301125319	0.823512849685537	0.963160656042384	0.963160656042384	0.607501458992668	0.823512849685537	0.745165401823458	a
up dne1.3 dcp2 vs dcp2	0.790957997650247	0.923326301125319	1	0.874132737463693	0.923326301125319	0.883471280120134	0.573433362047625	0.790957997650247	0.706920220034786	a
up dne1 dcp2 vs dcp2	0.720744555909307	0.823512849685537	0.874132737463693	1	0.790957997650247	0.790957997650247	0.525868555657694	0.720744555909307	0.573433362047625	a
xrn4	0.0424148195772253	0.963160656042384	0.923326301125319	0.790957997650247	1	0.883471280120134	0.525868555657694	0.790957997650247	0.573433362047625	a
dcp2	0.525868555657694	0.963160656042384	0.883471280120134	0.790957997650247	0.883471280120134	1	0.525868555657694	0.823512849685537	0.607501458992668	a
down dne1.2 dcp2 vs dcp2	0.573433362047625	0.607501458992668	0.573433362047625	0.525868555657694	0.525868555657694	0.525868555657694	1	0.790957997650247	0.923326301125319	a
down dne1.3 dcp2 vs dcp2	0.923326301125319	0.823512849685537	0.790957997650247	0.720744555909307	0.790957997650247	0.823512849685537	0.790957997650247	1	0.850950962241251	a
down dne1 dcp2 vs dcp2	0.745165401823458	0.745165401823458	0.706920220034786	0.573433362047625	0.573433362047625	0.607501458992668	0.923326301125319	0.850950962241251	1	a
