	flowers	up dne1.2 dcp2 vs dcp2	up dne1.3 dcp2 vs dcp2	up dne1 dcp2 vs dcp2	xrn4	dcp2	down dne1.2 dcp2 vs dcp2	down dne1.3 dcp2 vs dcp2	down dne1 dcp2 vs dcp2	Letters
flowers	1	0.610830355580487	0.183792552009016	0.654261930791061	1.00892512754845e-121	1.28039549065801e-137	2.00593580392103e-41	7.79807845768044e-42	2.78950400637489e-33	a
up dne1.2 dcp2 vs dcp2	0.610830355580487	1	0.665842612168801	0.997902803999009	0.0208469938761787	0.000195706374555613	4.65267003809812e-15	4.49509232199164e-15	3.95912336069238e-14	ab
up dne1.3 dcp2 vs dcp2	0.183792552009016	0.665842612168801	1	0.724386705795968	0.138159418515384	0.00249869349392118	1.37591490164339e-14	8.92358159956781e-15	8.91311034816977e-14	abc
up dne1 dcp2 vs dcp2	0.654261930791061	0.997902803999009	0.724386705795968	1	0.0602798817381353	0.00199450481499284	2.36341842406681e-12	1.99861936426283e-12	1.01164207088551e-11	abc
xrn4	1.00892512754845e-121	0.0208469938761787	0.138159418515384	0.0602798817381353	1	1.65005145691641e-14	1.33226451490244e-29	4.12518591347261e-30	2.84411518657807e-24	b
dcp2	1.28039549065801e-137	0.000195706374555613	0.00249869349392118	0.00199450481499284	1.65005145691641e-14	1	3.07460822137024e-21	1.5556140606799e-21	9.85991585647006e-18	c
down dne1.2 dcp2 vs dcp2	2.00593580392103e-41	4.65267003809812e-15	1.37591490164339e-14	2.36341842406681e-12	1.33226451490244e-29	3.07460822137024e-21	1	0.910776245033926	0.910776245033926	d
down dne1.3 dcp2 vs dcp2	7.79807845768044e-42	4.49509232199164e-15	8.92358159956781e-15	1.99861936426283e-12	4.12518591347261e-30	1.5556140606799e-21	0.910776245033926	1	0.824519621557432	d
down dne1 dcp2 vs dcp2	2.78950400637489e-33	3.95912336069238e-14	8.91311034816977e-14	1.01164207088551e-11	2.84411518657807e-24	9.85991585647006e-18	0.910776245033926	0.824519621557432	1	d
