	flowers	up dne1.2 dcp2 vs dcp2	up dne1.3 dcp2 vs dcp2	up dne1 dcp2 vs dcp2	xrn4	dcp2	down dne1.2 dcp2 vs dcp2	down dne1.3 dcp2 vs dcp2	down dne1 dcp2 vs dcp2	Letters
flowers	1	2.09670381062289e-21	7.82495181638441e-21	1.68081796300113e-17	2.63182891290405e-123	2.68606550233491e-76	0.00659529252484226	0.346833846389508	0.0334498068546847	a
up dne1.2 dcp2 vs dcp2	2.09670381062289e-21	1	0.943842614689939	0.997233568801104	6.54440623048076e-14	3.14236086011185e-12	1.55863646492828e-19	4.38689480559196e-17	2.96239149531344e-18	b
up dne1.3 dcp2 vs dcp2	7.82495181638441e-21	0.943842614689939	1	0.943842614689939	2.36359593741831e-13	9.63237209435396e-12	3.64254084042926e-19	1.18553357140773e-16	7.2935645628365e-18	b
up dne1 dcp2 vs dcp2	1.68081796300113e-17	0.997233568801104	0.943842614689939	1	1.99038389604096e-11	4.84475697841197e-10	4.20216083125058e-17	8.00499448176303e-15	3.60432664201131e-16	b
xrn4	2.63182891290405e-123	6.54440623048076e-14	2.36359593741831e-13	1.99038389604096e-11	1	0.15303995373024	1.88815722321116e-12	9.95624439204261e-08	1.04522118282697e-09	c
dcp2	2.68606550233491e-76	3.14236086011185e-12	9.63237209435396e-12	4.84475697841197e-10	0.15303995373024	1	1.44903393670615e-12	4.86499116096736e-08	7.34161789782815e-10	c
down dne1.2 dcp2 vs dcp2	0.00659529252484226	1.55863646492828e-19	3.64254084042926e-19	4.20216083125058e-17	1.88815722321116e-12	1.44903393670615e-12	1	0.224284737178144	0.848906723991657	a
down dne1.3 dcp2 vs dcp2	0.346833846389508	4.38689480559196e-17	1.18553357140773e-16	8.00499448176303e-15	9.95624439204261e-08	4.86499116096736e-08	0.224284737178144	1	0.363099922235026	a
down dne1 dcp2 vs dcp2	0.0334498068546847	2.96239149531344e-18	7.2935645628365e-18	3.60432664201131e-16	1.04522118282697e-09	7.34161789782815e-10	0.848906723991657	0.363099922235026	1	a
