AGI	Tissue
AT5G15230	14_day_old_seedling
AT1G73330	14_day_old_seedling
AT1G74470	14_day_old_seedling
AT2G31040	14_day_old_seedling
AT2G43970	14_day_old_seedling
AT5G60920	14_day_old_seedling
AT3G55800	14_day_old_seedling
AT3G61580	14_day_old_seedling
AT3G15450	14_day_old_seedling
AT3G15353	14_day_old_seedling
AT4G28080	14_day_old_seedling
AT3G18780	14_day_old_seedling
AT3G53460	14_day_old_seedling
AT4G32410	14_day_old_seedling
AT1G79245	14_day_old_seedling
AT2G34480	14_day_old_seedling
AT3G15360	14_day_old_seedling
AT4G39200	14_day_old_seedling
AT5G04140	14_day_old_seedling
AT5G11670	14_day_old_seedling
AT4G16980	14_day_old_seedling
AT1G10760	14_day_old_seedling
AT2G18020	14_day_old_seedling
AT4G01850	14_day_old_seedling
AT3G09200	14_day_old_seedling
AT2G35260	14_day_old_seedling
AT1G64510	14_day_old_seedling
AT3G13750	14_day_old_seedling
ATCG00480	14_day_old_seedling
AT3G44310	14_day_old_seedling
AT1G07890	14_day_old_seedling
AT3G18080	14_day_old_seedling
AT5G08670	14_day_old_seedling
AT1G30230	14_day_old_seedling
AT5G19940	14_day_old_seedling
AT1G35720	14_day_old_seedling
AT2G42600	14_day_old_seedling
AT4G23670	14_day_old_seedling
AT5G25460	14_day_old_seedling
AT2G26900	14_day_old_seedling
AT5G13510	14_day_old_seedling
AT2G02100	14_day_old_seedling
AT1G09750	14_day_old_seedling
AT1G56220	14_day_old_seedling
AT2G25080	14_day_old_seedling
AT5G09810	14_day_old_seedling
AT1G02780	14_day_old_seedling
AT3G63410	14_day_old_seedling
AT3G26060	14_day_old_seedling
AT1G21500	14_day_old_seedling
AT5G06290	14_day_old_seedling
AT1G32470	14_day_old_seedling
AT1G76100	14_day_old_seedling
AT1G49240	14_day_old_seedling
AT5G23010	14_day_old_seedling
AT5G11740	14_day_old_seedling
AT5G13630	14_day_old_seedling
AT3G52930	14_day_old_seedling
AT4G37830	14_day_old_seedling
AT3G54210	14_day_old_seedling
AT2G26080	14_day_old_seedling
AT2G41430	14_day_old_seedling
AT4G00430	14_day_old_seedling
AT2G39010	14_day_old_seedling
AT5G57560	14_day_old_seedling
AT1G47128	14_day_old_seedling
AT2G42840	14_day_old_seedling
AT3G18490	14_day_old_seedling
AT2G29630	14_day_old_seedling
AT3G11940	14_day_old_seedling
AT3G22120	14_day_old_seedling
AT4G40040	14_day_old_seedling
AT1G57720	14_day_old_seedling
AT2G21170	14_day_old_seedling
AT3G63520	14_day_old_seedling
AT2G45470	14_day_old_seedling
AT1G10960	14_day_old_seedling
AT1G51400	14_day_old_seedling
AT2G30950	14_day_old_seedling
AT2G15890	14_day_old_seedling
AT5G62350	14_day_old_seedling
AT2G43910	14_day_old_seedling
AT5G08280	14_day_old_seedling
AT2G37660	14_day_old_seedling
AT4G34050	14_day_old_seedling
AT4G40030	14_day_old_seedling
AT1G66970	14_day_old_seedling
AT1G59870	14_day_old_seedling
AT5G66040	14_day_old_seedling
AT3G15730	14_day_old_seedling
AT1G76080	14_day_old_seedling
AT1G68560	14_day_old_seedling
AT3G25920	14_day_old_seedling
AT1G51200	14_day_old_seedling
AT2G01250	14_day_old_seedling
AT5G48300	14_day_old_seedling
AT3G26070	14_day_old_seedling
AT5G12860	14_day_old_seedling
AT3G32980	14_day_old_seedling
AT1G78830	14_day_old_seedling
AT3G54050	14_day_old_seedling
AT5G60600	14_day_old_seedling
AT1G78900	14_day_old_seedling
AT1G21130	14_day_old_seedling
AT1G16880	14_day_old_seedling
AT1G63770	14_day_old_seedling
AT1G03600	14_day_old_seedling
AT1G11910	14_day_old_seedling
AT2G34250	14_day_old_seedling
AT2G28800	14_day_old_seedling
AT4G09000	14_day_old_seedling
AT1G17290	14_day_old_seedling
AT3G01120	14_day_old_seedling
AT5G44020	14_day_old_seedling
AT5G24490	14_day_old_seedling
AT3G13120	14_day_old_seedling
AT2G20890	14_day_old_seedling
AT2G24940	14_day_old_seedling
AT3G58610	14_day_old_seedling
AT3G59970	14_day_old_seedling
AT5G60360	14_day_old_seedling
AT3G61430	14_day_old_seedling
AT5G51110	14_day_old_seedling
AT3G27850	14_day_old_seedling
AT3G01280	14_day_old_seedling
AT4G11150	14_day_old_seedling
AT3G48360	14_day_old_seedling
AT1G75380	14_day_old_seedling
AT1G48350	14_day_old_seedling
AT3G08030	14_day_old_seedling
AT3G04730	14_day_old_seedling
AT5G49720	14_day_old_seedling
AT5G13650	14_day_old_seedling
AT1G08520	14_day_old_seedling
AT5G23060	14_day_old_seedling
AT3G02090	14_day_old_seedling
AT3G59920	14_day_old_seedling
AT1G53240	14_day_old_seedling
AT5G08690	14_day_old_seedling
AT3G13920	14_day_old_seedling
AT3G55440	14_day_old_seedling
AT3G49010	14_day_old_seedling
AT4G04340	14_day_old_seedling
AT4G35830	14_day_old_seedling
AT1G74970	14_day_old_seedling
AT2G43010	14_day_old_seedling
AT4G37300	14_day_old_seedling
AT2G14890	14_day_old_seedling
AT2G27385	14_day_old_seedling
AT3G17390	14_day_old_seedling
AT3G51550	14_day_old_seedling
AT1G49750	14_day_old_seedling
AT2G47440	14_day_old_seedling
AT1G03870	14_day_old_seedling
AT3G23820	14_day_old_seedling
AT3G46970	14_day_old_seedling
AT4G05050	14_day_old_seedling
AT2G33040	14_day_old_seedling
AT5G10450	14_day_old_seedling
AT1G28330	14_day_old_seedling
AT3G62870	14_day_old_seedling
AT1G70830	14_day_old_seedling
AT1G67430	14_day_old_seedling
AT2G16600	14_day_old_seedling
AT2G43030	14_day_old_seedling
AT5G01750	14_day_old_seedling
AT1G11860	14_day_old_seedling
AT5G20700	14_day_old_seedling
AT3G09840	14_day_old_seedling
AT1G19910	14_day_old_seedling
AT3G22890	14_day_old_seedling
AT1G09640	14_day_old_seedling
AT3G56240	14_day_old_seedling
AT4G32020	14_day_old_seedling
AT1G78040	14_day_old_seedling
