AGI	Experiment	Category	Melt_Cat
AT1G05530	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G05560	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G05562	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G05590	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G05710	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G05850	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G05870	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G05960	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06000	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06002	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06040	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06070	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06110	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06180	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06200	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06230	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06240	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06360	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06420	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06450	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06530	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06570	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06640	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06670	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06760	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06850	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06870	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06900	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G06920	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07020	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07070	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07090	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07128	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07130	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07135	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07140	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07170	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07200	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07220	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07240	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07250	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07260	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07310	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07485	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07490	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07510	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07520	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G07530	SMALL	UP_XRN4	SMALL_UP_XRN4
